,word,count
0,quarter,2346
1,think,2083
2,going,1815
3,billion,1787
4,would,1646
5,year,1635
6,million,1278
7,see,1216
8,business,1050
9,little,842
10,good,817
11,growth,809
12,credit,809
13,net,784
14,last,768
15,lot,750
16,like,745
17,higher,741
18,look,739
19,obviously,729
20,capital,718
21,revenue,716
22,one,695
23,continue,670
24,say,667
25,know,666
26,strong,654
27,expect,651
28,get,649
29,first,634
30,investment,633
31,things,632
32,also,631
33,market,626
34,well,607
35,really,606
36,go,600
37,bit,582
38,lower,572
39,number,559
40,time,555
41,still,550
42,us,546
43,income,545
44,bank,533
45,yes,524
46,loan,518
47,back,492
48,driven,489
49,page,486
50,point,475
51,portfolio,475
52,people,473
53,want,462
54,right,461
55,equity,448
56,basis,437
57,rates,434
58,loans,433
59,make,433
60,businesses,431
61,said,429
62,much,422
63,way,415
64,next,412
65,take,407
66,across,407
67,rate,405
68,risk,405
69,new,402
70,banking,395
71,revenues,391
72,card,389
73,balance,384
74,markets,380
75,mortgage,376
76,end,374
77,second,372
78,could,370
79,impact,360
80,kind,344
81,results,340
82,may,338
83,commercial,337
84,management,333
85,expense,327
86,change,323
87,consumer,321
88,got,321
89,performance,316
90,earnings,310
91,line,307
92,pretty,306
93,fourth,305
94,client,304
95,reserves,301
96,loss,300
97,corporate,293
98,real,293
99,expenses,292
100,assets,291
101,share,291
102,company,290
103,better,289
104,continued,284
105,costs,284
106,thing,284
107,slide,284
108,saw,279
109,offset,278
110,side,278
111,around,278
112,two,278
113,sheet,275
114,come,268
115,terms,265
116,record,263
117,points,261
118,give,259
119,level,256
120,actually,256
121,services,253
122,seen,252
123,reserve,249
124,numbers,246
125,mean,245
126,deposits,244
127,clients,243
128,probably,242
129,seeing,241
130,day,241
131,years,240
132,need,239
133,big,238
134,ratio,236
135,half,236
136,given,234
137,part,234
138,overall,232
139,trading,232
140,high,232
141,remember,232
142,always,229
143,losses,229
144,done,229
145,stuff,229
146,flat,228
147,deposit,227
148,significant,225
149,total,222
150,put,222
151,less,221
152,couple,220
153,something,220
154,third,219
155,retail,219
156,different,219
157,already,219
158,run,218
159,sort,218
160,even,217
161,start,217
162,fees,214
163,positive,214
164,looking,214
165,investor,212
166,tax,210
167,increase,209
168,levels,208
169,talked,206
170,prior,202
171,feel,202
172,interest,201
173,large,201
174,asset,198
175,able,198
176,cost,196
177,margin,195
178,low,194
179,changes,193
180,versus,191
181,sales,190
182,investments,190
183,return,188
184,environment,188
185,forward,188
186,important,186
187,fact,185
188,balances,184
189,talking,184
190,benefit,184
191,nii,183
192,great,183
193,including,182
194,coming,181
195,gains,180
196,lending,179
197,made,179
198,operating,179
199,talk,177
200,firm,176
201,private,176
202,long,176
203,related,175
204,might,174
205,basel,173
206,auto,172
207,making,170
208,guidance,170
209,course,167
210,getting,163
211,sure,162
212,work,162
213,roe,161
214,plus,160
215,question,159
216,whole,158
217,call,158
218,core,158
219,rules,157
220,items,157
221,banks,156
222,products,155
223,slightly,154
224,grow,154
225,securities,153
226,small,153
227,whether,153
228,let,152
229,best,151
230,mentioned,150
231,financial,150
232,certain,150
233,treasury,149
234,every,149
235,home,148
236,liquidity,148
237,full,148
238,money,147
239,generally,147
240,global,146
241,reflecting,146
242,activity,145
243,underlying,145
244,reported,144
245,industry,144
246,cash,143
247,wholesale,142
248,volumes,139
249,quarters,139
250,competitive,138
251,model,137
252,three,137
253,spend,137
254,ca,135
255,negative,133
256,value,133
257,strength,132
258,try,131
259,believe,131
260,particularly,130
261,branches,130
262,build,129
263,estate,129
264,chase,129
265,common,128
266,maybe,126
267,average,125
268,early,125
269,fixed,124
270,hard,124
271,included,123
272,approximately,123
273,deal,123
274,expected,123
275,increased,122
276,outlook,122
277,another,122
278,relatively,122
279,inaudible,122
280,almost,121
281,thank,120
282,based,120
283,volatility,120
284,tell,120
285,move,120
286,leverage,119
287,jamie,119
288,hope,119
289,reduction,119
290,mike,118
291,primarily,117
292,trying,116
293,largely,115
294,remain,115
295,customers,115
296,growing,115
297,decline,115
298,continues,114
299,prime,114
300,legal,114
301,drive,114
302,ib,113
303,underwriting,113
304,use,113
305,buy,112
306,wo,112
307,working,112
308,companies,112
309,stock,112
310,manage,111
311,relative,110
312,add,110
313,normal,110
314,merger,110
315,modest,109
316,due,108
317,close,108
318,stress,108
319,customer,107
320,improvement,107
321,several,107
322,middle,106
323,remains,106
324,trillion,106
325,period,106
326,anything,106
327,quite,106
328,effect,106
329,consistent,105
330,servicing,105
331,spreads,104
332,ccar,104
333,comment,104
334,place,103
335,necessarily,103
336,continuing,103
337,driving,103
338,today,103
339,debt,102
340,moving,102
341,trends,102
342,cio,102
343,far,102
344,yet,102
345,many,102
346,production,100
347,taking,100
348,exposure,100
349,volume,99
350,ago,99
351,space,99
352,expecting,99
353,guess,99
354,pretax,97
355,cycle,97
356,added,97
357,jpmorgan,96
358,happen,96
359,quality,96
360,nothing,96
361,bottom,96
362,technology,95
363,adjusted,95
364,tier,95
365,morning,94
366,future,94
367,cib,93
368,result,93
369,board,93
370,position,93
371,running,93
372,pay,92
373,litigation,92
374,months,92
375,case,92
376,respect,92
377,price,92
378,everything,92
379,fully,91
380,top,91
381,pipeline,90
382,accounting,90
383,mix,89
384,fed,89
385,pricing,89
386,exactly,89
387,range,88
388,progress,88
389,product,87
390,spread,87
391,saying,87
392,returns,87
393,regulators,87
394,comp,87
395,gain,86
396,flows,86
397,invest,86
398,iii,86
399,reduce,85
400,particular,84
401,partially,84
402,term,84
403,open,83
404,detail,82
405,went,82
406,short,82
407,goes,82
408,world,82
409,economy,81
410,minus,81
411,hopefully,81
412,nim,81
413,okay,81
414,includes,80
415,though,80
416,bad,80
417,together,80
418,book,80
419,adding,80
420,specific,80
421,portfolios,79
422,questions,79
423,security,79
424,trend,79
425,issues,79
426,comments,79
427,p,79
428,current,78
429,took,78
430,understand,78
431,amount,78
432,oil,78
433,var,78
434,job,78
435,tangible,77
436,margins,77
437,reason,77
438,upon,77
439,estimate,77
440,since,77
441,show,77
442,marketing,76
443,clear,76
444,front,76
445,bunch,76
446,actions,75
447,broadly,75
448,answer,75
449,government,75
450,expectations,75
451,despite,75
452,charge,74
453,addition,74
454,finance,74
455,positions,73
456,solid,73
457,include,73
458,multiple,73
459,dollars,73
460,stable,73
461,starting,72
462,help,72
463,final,72
464,significantly,71
465,prices,71
466,incremental,71
467,reasons,71
468,building,71
469,bear,71
470,models,71
471,healthy,70
472,earlier,70
473,else,70
474,set,70
475,target,70
476,likely,70
477,issue,70
478,general,70
479,mortgages,70
480,sale,69
481,releases,69
482,flow,69
483,excluding,69
484,keep,69
485,presentation,68
486,drivers,68
487,smaller,68
488,msr,68
489,true,67
490,opportunity,67
491,view,67
492,decisions,67
493,huge,67
494,ultimately,67
495,release,67
496,merchant,66
497,came,66
498,investing,66
499,pressure,66
500,data,66
501,size,66
502,wamu,66
503,opportunities,66
504,europe,66
505,adjust,66
506,focus,66
507,et,66
508,cards,65
509,somewhat,65
510,compression,65
511,although,65
512,matter,65
513,nearly,65
514,acquisition,65
515,additional,65
516,exposures,65
517,regulatory,65
518,rwa,65
519,major,65
520,fairly,65
521,shareholders,64
522,derivatives,64
523,clearly,64
524,sense,64
525,accounts,64
526,percent,64
527,wealth,63
528,compensation,63
529,benefits,63
530,away,63
531,everybody,63
532,stay,63
533,left,63
534,profits,63
535,deals,62
536,inflows,62
537,managing,62
538,changed,62
539,focused,62
540,excess,62
541,reasonable,62
542,originations,62
543,mostly,62
544,within,62
545,fair,61
546,spending,61
547,combination,61
548,base,61
549,taken,61
550,delinquencies,61
551,remaining,61
552,shows,61
553,per,60
554,improve,60
555,curve,60
556,possible,60
557,ratios,60
558,generated,59
559,expansion,59
560,lease,59
561,bankers,59
562,demand,59
563,never,59
564,reduced,59
565,active,59
566,towards,59
567,branch,58
568,areas,58
569,rest,58
570,ability,58
571,stronger,58
572,worth,57
573,certainly,57
574,single,57
575,trade,56
576,gave,56
577,timing,56
578,past,56
579,sorry,56
580,eventually,56
581,review,56
582,l,56
583,actual,56
584,morgan,56
585,improved,55
586,whatever,55
587,announced,55
588,longer,55
589,told,55
590,type,55
591,turn,55
592,account,55
593,plan,55
594,example,54
595,reprice,54
596,process,54
597,key,54
598,overhead,54
599,lcr,54
600,note,53
601,material,53
602,basically,53
603,momentum,53
604,competition,53
605,near,53
606,thought,53
607,driver,53
608,holding,53
609,deliver,53
610,adjustments,53
611,become,52
612,least,52
613,economic,52
614,potential,52
615,completely,52
616,days,52
617,read,52
618,times,52
619,makes,52
620,available,51
621,duration,51
622,relates,51
623,built,51
624,system,51
625,six,51
626,charges,51
627,yield,50
628,gaining,50
629,affect,50
630,rising,50
631,franchise,50
632,previously,50
633,combined,50
634,partners,50
635,ask,49
636,compared,49
637,play,49
638,grew,49
639,strongly,49
640,risks,49
641,comfortable,49
642,ahead,49
643,therefore,49
644,five,49
645,energy,48
646,lines,48
647,rather,48
648,experience,48
649,factors,48
650,looks,48
651,quickly,48
652,comes,48
653,started,48
654,potentially,48
655,hedging,48
656,volatile,48
657,sell,48
658,context,48
659,substantially,47
660,recovery,47
661,reflects,47
662,reasonably,47
663,either,47
664,happens,47
665,stop,47
666,ongoing,47
667,equal,47
668,hundred,47
669,gross,47
670,eps,46
671,ended,46
672,constructive,46
673,c,46
674,paid,46
675,seasonality,46
676,story,46
677,beginning,46
678,discipline,46
679,estimates,46
680,four,46
681,similar,46
682,united,46
683,central,46
684,synthetic,46
685,gets,46
686,thanks,46
687,systems,46
688,stearns,46
689,remained,45
690,fdic,45
691,turning,45
692,strategic,45
693,ranked,45
694,finally,45
695,double,45
696,purchase,45
697,parts,45
698,item,45
699,gone,45
700,requirements,45
701,used,45
702,conservative,45
703,tough,45
704,fund,45
705,dividend,44
706,funding,44
707,majority,44
708,gained,44
709,policy,44
710,associated,44
711,means,44
712,hold,44
713,improving,44
